Mississippi Rebels,177,Eric Horn\eric-horn-2,11,,F,6-7,185,,Leigh High School,0,1,0
Mississippi Rebels,177,Antonio Morgano\antonio-morgano-1,10,,G,5-10,165,,Morgantown High School,0,0,0
Mississippi Rebels,177,Ilya Tyrtyshnik\ilya-tyrtyshnik-1,34,FR,G,6-3,185,,Get Better Academy,0,0.7,0
Mississippi Rebels,177,Karlis Silins\karlis-silins-1,22,,F,6-11,245,Latvia,WEF Skola,,,
Mississippi State Bulldogs,178,Quinndary Weatherspoon\quinndary-weatherspoon-1,11,JR,G,6-4,190,Canton MS,Velma Jackson HS,14.4,6,3.3
Mississippi State Bulldogs,178,Aric Holman\aric-holman-1,35,JR,F,6-10,195,Owensboro KY,Owensboro HS,10.9,6.7,0.8
Mississippi State Bulldogs,178,Nick Weatherspoon\nick-weatherspoon-2,0,FR,G,6-2,195,Canton MS,Velma Jackson Magnet High School,10.8,2.9,2.1
Mississippi State Bulldogs,178,Tyson Carter\tyson-carter-1,23,SO,G,6-4,167,Starkville MS,Starkville High School,8.9,1.8,1.2
Mississippi State Bulldogs,178,Lamar Peters\lamar-peters-1,1,SO,G,6-0,188,New Orleans LA,L.B. Landry High School,9.6,2.2,4.5
Mississippi State Bulldogs,178,Abdul Ado\abdul-ado-1,24,FR,F,6-11,246,Chattanooga TN,Hamilton Heights Christian Academy,7.8,6.4,0.4
Mississippi State Bulldogs,178,Xavian Stapleton\xavian-stapleton-1,3,JR,G,6-6,190,Flora MS,Madison Central,6.4,2.6,0.5
Mississippi State Bulldogs,178,Eli Wright\eli-wright-1,2,SO,G,6-4,203,Owensboro KY,Apollo High School,3,2.2,0.9
Mississippi State Bulldogs,178,E.J. Datcher\ej-datcher-1,45,SO,C,6-9,240,Vincent AL,Vincent High School,2.2,1.7,0.1
Mississippi State Bulldogs,178,KeyShawn Feazell\keyshawn-feazell-1,22,FR,F,6-8,230,Newhebron MS,Lawrence County High School,1.4,1.3,0
Mississippi State Bulldogs,178,Nick Singleton\nick-singleton-1,13,JR,G,6-5,195,Decatur GA,Columbia High School,2.4,0.6,0.1
Mississippi State Bulldogs,178,Schnider Herard\schnider-herard-1,34,SO,C,6-10,250,Plano TX,Prestonwood Christian Academy,1,2.1,0
Mississippi State Bulldogs,178,Drew Davis\drew-davis-2,12,SR,G,5-10,172,Atlanta GA,Fort Walton Beach High School,0.4,0.3,0.3
Mississippi State Bulldogs,178,T.J. Gray\tj-gray-2,15,SO,G,5-9,160,Columbus MS,Columbus High School,0.6,0.2,0
Mississippi State Bulldogs,178,Tate Clayton\tate-clayton-1,10,FR,G,6-2,170,Tupelo MS,Tupelo High School,0,0,0
Mississippi State Bulldogs,178,Mitchell Storm\mitchell-storm-1,5,SO,F,6-7,202,Madison MS,Madison Central High School,0,0.8,0
Missouri Tigers,181,Kassius Robertson\kassius-robertson-1,3,SR,G,6-3,169,Canada,Thornlea Secondary School,16.3,3,2.3
Missouri Tigers,181,Jordan Barnett\jordan-barnett-1,21,SR,F,6-6,205,St. Louis MO,Christian Brothers College HS,13.7,5.9,1.1
Missouri Tigers,181,Jontay Porter\jontay-porter-1,11,FR,F,6-11,240,Columbia MO,Nathan Hale High School,9.9,6.8,2.2
Missouri Tigers,181,Kevin Puryear\kevin-puryear-1,24,JR,F,6-7,215,Blue Springs MO,South HS,8.6,4.3,0.8
Missouri Tigers,181,Jeremiah Tilmon\jeremiah-tilmon-1,23,FR,F,6-10,252,East Saint Louis IL,La Lumiere School,8.2,4.2,0.5
Missouri Tigers,181,Jordan Geist\jordan-geist-1,15,JR,G,6-2,180,Fort Wayne IN,Homestead High School,7.3,3.8,2.9
Missouri Tigers,181,Reed Nikko\reed-nikko-1,14,SO,F,6-10,250,Maple Grove MN,Maple Grove Senior High School,2.3,2,0.2
Missouri Tigers,181,Cullen VanLeer\cullen-vanleer-1,33,JR,G,6-4,195,Pacific MO,Pacific HS,2.4,1.4,1
Missouri Tigers,181,Blake Harris\blake-harris-1,55,FR,G,6-3,195,Chapel Hill NC,Word of God Christian Academy,3.8,2.4,3.1
Missouri Tigers,181,Terrence Phillips\terrence-phillips-1,1,JR,G,5-11,170,Orange County CA,Oak Hill (VA),2.5,1.5,1.9
Missouri Tigers,181,Michael Porter Jr.\michael-porterjr-1,13,FR,F,6-10,215,Columbia MO,Nathan Hale High School,10,6.7,0.3
Missouri Tigers,181,Brett Rau\brett-rau-1,10,SR,G,6-4,170,Burlington IL,Burlington Central High School,0.9,0.3,0.2
Missouri Tigers,181,Adam Wolf\adam-wolf-1,32,JR,F,6-7,210,Beaver Dam WI,Beaver Dam HS,2.3,0,0
Missouri Tigers,181,Mitchell Smith\mitchell-smith-1,5,,F,6-10,215,Van Buren AR,Van Buren High School,,,
Missouri Tigers,181,Ronnie Suggs\ronnie-suggs-1,2,,G,6-6,190,Washington MO,Vermont Academy,,,
South Carolina Gamecocks,270,Quinndary Weatherspoon\quinndary-weatherspoon-1,11,JR,G,6-4,190,Canton MS,Velma Jackson HS,14.4,6,3.3
